source_name,source_type,source_RA,source_DEC,22present,27present
4FGL_J1828.4-1059,PSR,277.1027,-10.9964,1,1
4FGL_J0102.8+4839,PSR,15.7137,48.6591,1,1
4FGL_J1705.6-1909,PSR,256.4010,-19.1658,1,1
4FGL_J0952.1-0607,PSR,148.0477,-6.1290,1,1
4FGL_J0034.3-0534,PSR,8.5961,-5.5809,1,1
4FGL_J2310.0-0555,PSR,347.5183,-5.9251,1,1
4FGL_J1431.4-4711,PSR,217.8727,-47.1945,1,1
4FGL_J1016.3-5857,PSR,154.0951,-58.9587,1,1
4FGL_J1907.9+0602,PSR,286.9845,6.0351,1,1
4FGL_J0621.2+2512,PSR,95.3134,25.2075,1,1
4FGL_J1742.3-3318,PSR,265.5804,-33.3075,1,1
4FGL_J1208.2-6237,PSR,182.0529,-62.6331,1,1
4FGL_J1741.9-2054,PSR,265.4918,-20.9005,1,1
4FGL_J1805.6+0615,PSR,271.4247,6.2556,1,1
4FGL_J0340.3+4130,PSR,55.0990,41.5091,1,1
4FGL_J2017.7-1612,PSR,304.4414,-16.2039,1,1
4FGL_J1628.1-3204,PSR,247.0387,-32.0747,1,1
4FGL_J1740.5+1005,PSR,265.1489,10.0977,1,1
4FGL_J0835.3-4510,PSR,128.8370,-45.1781,1,1
4FGL_J0941.1-5429,PSR,145.2831,-54.4873,1,1
4FGL_J0534.5+2200,PSR,83.6367,22.0149,1,1
4FGL_J0955.4-6151,PSR,148.8667,-61.8559,1,1
4FGL_J0908.7-4911,PSR,137.1790,-49.1941,1,1
4FGL_J1746.8-3239,PSR,266.7205,-32.6644,1,1
4FGL_J1827.6-0849,PSR,276.9076,-8.8271,1,1
4FGL_J0729.3-1445,PSR,112.3416,-14.7608,1,1
4FGL_J1640.1+2222,PSR,250.0258,22.3774,1,1
4FGL_J1429.9-5911,PSR,217.4914,-59.1888,1,1
4FGL_J1624.1-4042,PSR,246.0399,-40.7073,1,1
4FGL_J1906.4+0723,PSR,286.6115,7.3982,1,1
4FGL_J0218.1+4232,PSR,34.5344,42.5459,1,1
4FGL_J2051.0-0826,PSR,312.7676,-8.4344,1,1
4FGL_J1816.5+4510,PSR,274.1489,45.1730,1,1
4FGL_J1104.9-6037,PSR,166.2343,-60.6304,1,1
4FGL_J0610.2-2100,PSR,92.5576,-21.0006,1,1
4FGL_J1044.4-5737,PSR,161.1238,-57.6258,1,1
4FGL_J1641.2+8049,PSR,250.3029,80.8292,1,1
4FGL_J1730.5-3352,PSR,262.6425,-33.8801,1,1
4FGL_J1846.3+0919,PSR,281.5957,9.3322,1,1
4FGL_J1513.4-2549,PSR,228.3728,-25.8271,1,1
4FGL_J1843.7-1114,PSR,280.9370,-11.2420,1,1
4FGL_J0007.0+7303,PSR,1.7680,73.0512,1,1
4FGL_J1420.0-6048,PSR,215.0090,-60.8050,1,1
4FGL_J1459.5-6053,PSR,224.8752,-60.8894,1,1
4FGL_J2017.4+0602,PSR,304.3518,6.0492,1,1
4FGL_J0002.8+6217,PSR,0.7201,62.2905,1,1
4FGL_J2115.1+5449,PSR,318.7845,54.8206,1,1
4FGL_J1913.3+1019,PSR,288.3496,10.3289,1,1
4FGL_J1959.5+2048,PSR,299.8990,20.8085,1,1
4FGL_J1055.7-6028,PSR,163.9355,-60.4723,1,1
4FGL_J1958.7+2846,PSR,299.6761,28.7704,1,1
4FGL_J1023.0-5745,PSR,155.7749,-57.7611,1,1
4FGL_J1528.4-5838,PSR,232.1087,-58.6340,1,1
4FGL_J1946.5-5402,PSR,296.6322,-54.0496,1,1
4FGL_J0437.2-4715,PSR,69.3136,-47.2545,1,1
4FGL_J1739.4-3015,PSR,264.8691,-30.2587,1,1
4FGL_J0742.8-2822,PSR,115.7091,-28.3814,1,1
4FGL_J1744.0-7618,PSR,266.0003,-76.3152,1,1
4FGL_J1544.0+4939,PSR,236.0179,49.6524,1,1
4FGL_J1625.1-0020,PSR,246.2870,-0.3491,1,1
4FGL_J2021.1+3651,PSR,305.2796,36.8561,1,1
4FGL_J2028.3+3331,PSR,307.0848,33.5315,1,1
4FGL_J0633.7+0632,PSR,98.4371,6.5450,1,1
4FGL_J1521.9-5735,PSR,230.4930,-57.5893,1,1
4FGL_J1913.3+0905,PSR,288.3458,9.0918,1,1
4FGL_J1810.5+1744,PSR,272.6497,17.7470,1,1
